Hybridization REF	TCGA-06-0675-11A-32R-A36C-13	TCGA-06-0675-11A-32R-A36C-13	TCGA-06-0675-11A-32R-A36C-13	TCGA-06-0678-11A-32R-A36C-13	TCGA-06-0678-11A-32R-A36C-13	TCGA-06-0678-11A-32R-A36C-13	TCGA-06-0680-11A-32R-A36C-13	TCGA-06-0680-11A-32R-A36C-13	TCGA-06-0680-11A-32R-A36C-13	TCGA-06-0681-11A-41R-A36C-13	TCGA-06-0681-11A-41R-A36C-13	TCGA-06-0681-11A-41R-A36C-13	TCGA-06-AABW-11A-31R-A36C-13	TCGA-06-AABW-11A-31R-A36C-13	TCGA-06-AABW-11A-31R-A36C-13
miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-mir-150	579	147.849404	N	718	140.759419	N	637	116.305459	N	423	127.993977	N	411	103.571869	N
hsa-mir-151	7280	1858.970054	N	18108	3549.960380	N	13030	2379.058298	N	9931	3004.983898	N	30869	7778.978136	N
hsa-mir-152	426	108.780391	N	587	115.077686	N	687	125.434616	N	336	101.668975	N	781	196.811750	N
hsa-mir-153-1	407	103.928683	N	361	70.771797	N	354	64.634431	N	295	89.262939	N	54	13.607983	N
hsa-mir-153-2	2325	593.695793	N	1887	369.934572	N	2286	417.385055	N	1531	463.259525	N	722	181.943769	N
hsa-mir-1537	1	0.255353	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1538	2	0.510706	N	0	0.000000	N	1	0.182583	N	0	0.000000	N	1	0.252000	N
hsa-mir-1539	1	0.255353	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-154	309	78.904086	N	512	100.374404	N	550	100.420726	N	238	72.015524	N	118	29.735962	N
hsa-mir-155	99	25.279950	N	129	25.289645	N	141	25.744223	N	106	32.074141	N	83	20.915973	N
hsa-mir-15a	451	115.164216	N	995	195.063540	N	959	175.097230	N	805	243.581919	N	898	226.295713	N
hsa-mir-15b	243	62.050786	N	542	106.255717	N	484	88.370239	N	811	245.397436	N	424	106.847865	N
hsa-mir-16-1	1123	286.761452	N	2604	510.497947	N	1896	346.177631	N	3051	923.190602	N	1865	469.979404	N
hsa-mir-16-2	12	3.064236	N	31	6.077357	N	18	3.286496	N	49	14.826726	N	16	4.031995	N
hsa-mir-17	903	230.583786	Y	2224	436.001319	Y	1832	334.492310	Y	1730	523.474186	Y	2598	654.695170	Y
hsa-mir-181a-1	21183	5409.143222	N	62391	12231.366139	N	40412	7378.549804	N	27968	8462.731815	N	109615	27622.944974	N
hsa-mir-181a-2	2254	575.565728	N	4349	852.594306	N	3833	699.841171	N	3412	1032.424233	N	12638	3184.771962	N
hsa-mir-181b-1	3708	946.849033	N	12052	2362.719378	N	7587	1385.258274	N	5360	1621.862219	N	31939	8048.617794	N
hsa-mir-181b-2	36	9.192709	N	110	21.564813	N	69	12.598237	N	53	16.037070	N	218	54.935930	N
hsa-mir-181c	2735	698.390535	N	4054	794.761397	N	5012	915.106692	N	2110	638.456955	N	1043	262.835667	N
hsa-mir-181d	378	96.523445	N	592	116.057905	N	773	141.136766	N	247	74.738800	N	203	51.155935	N
hsa-mir-182	1966	502.024056	N	4819	944.734872	N	5652	1031.959900	N	13139	3975.680539	N	1085	273.419653	N
hsa-mir-1825	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1827	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-183	567	144.785168	N	909	178.203777	N	1228	224.212094	N	2622	793.381108	N	206	51.911934	N
hsa-mir-184	152	38.813660	N	236	46.266327	N	255	46.558700	N	165	49.926729	N	279	70.307911	N
hsa-mir-185	710	181.300651	N	1507	295.437944	N	1655	302.175095	N	1185	358.564688	N	1269	319.787595	N
hsa-mir-186	960	245.138908	N	1381	270.736431	N	1461	266.753966	N	1033	312.571581	N	1368	344.735563	N
hsa-mir-187	96	24.513891	N	78	15.291413	N	130	23.735808	N	122	36.915521	N	18	4.535994	N
hsa-mir-188	5	1.276765	N	2	0.392088	N	7	1.278082	N	2	0.605172	N	3	0.755999	N
hsa-mir-18a	9	2.298177	N	35	6.861532	N	35	6.390410	Y	52	15.734484	N	47	11.843985	Y
hsa-mir-18b	3	0.766059	N	3	0.588131	N	4	0.730333	Y	2	0.605172	N	2	0.503999	Y
hsa-mir-190	69	17.619359	N	150	29.406564	N	117	21.362227	N	94	28.443106	N	83	20.915973	N
hsa-mir-1908	1	0.255353	N	1	0.196044	N	2	0.365166	N	1	0.302586	N	2	0.503999	N
hsa-mir-1909	0	0.000000	N	0	0.000000	N	0	0.000000	N	1	0.302586	N	1	0.252000	N
hsa-mir-190b	3	0.766059	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	1	0.252000	N
hsa-mir-191	3057	780.614211	N	2721	533.435067	N	2960	540.446091	N	2437	737.402654	N	2541	640.331188	N
hsa-mir-1910	0	0.000000	N	0	0.000000	N	0	0.000000	N	1	0.302586	N	0	0.000000	N
hsa-mir-1911	15	3.830295	N	11	2.156481	N	14	2.556164	N	2	0.605172	N	1	0.252000	N
hsa-mir-1912	61	15.576535	N	122	23.917339	N	119	21.727394	N	39	11.800863	N	15	3.779995	N
hsa-mir-1913	0	0.000000	N	0	0.000000	N	0	0.000000	N	1	0.302586	N	2	0.503999	N
hsa-mir-1914	1	0.255353	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1915	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-192	1529	390.434782	N	1863	365.229522	Y	1988	362.975280	Y	1559	471.731940	N	2335	588.419254	N
hsa-mir-193a	445	113.632098	N	524	102.726929	N	512	93.482567	N	354	107.115527	N	589	148.427812	N
hsa-mir-193b	161	41.111838	N	351	68.811359	N	251	45.828368	N	173	52.347419	N	602	151.703808	N
hsa-mir-194-1	240	61.284727	N	491	96.257485	N	473	86.361825	N	336	101.668975	N	299	75.347904	N
hsa-mir-194-2	252	64.348963	N	565	110.764724	N	503	91.839319	N	341	103.181906	N	382	96.263878	N
hsa-mir-195	150	38.302954	N	239	46.854458	N	294	53.679443	N	170	51.439660	N	64	16.127980	N
hsa-mir-196a-1	0	0.000000	N	0	0.000000	N	3	0.547749	N	0	0.000000	N	0	0.000000	N
hsa-mir-196a-2	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-196b	2	0.510706	N	21	4.116919	N	18	3.286496	N	30	9.077587	N	1	0.252000	N
hsa-mir-197	6239	1593.147550	N	6799	1332.901514	N	6005	1096.411748	N	5550	1679.353603	N	5082	1280.662376	N
hsa-mir-1972-1	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1973	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1976	14	3.574942	N	46	9.018013	N	29	5.294911	N	58	17.550002	N	141	35.531955	N
hsa-mir-198	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-199a-1	157	40.090426	Y	205	40.188970	Y	274	50.027780	Y	117	35.402589	Y	87	21.923972	Y
hsa-mir-199a-2	277	70.732789	Y	273	53.519946	Y	405	73.946171	Y	195	59.004316	Y	123	30.995961	Y
hsa-mir-199b	322	82.223675	Y	324	63.518178	Y	497	90.743820	Y	243	73.528455	Y	137	34.523956	Y
hsa-mir-19a	42	10.724827	N	134	26.269864	N	91	16.615066	N	86	26.022416	N	129	32.507959	N
hsa-mir-19b-1	3	0.766059	N	12	2.352525	N	6	1.095499	N	13	3.933621	N	21	5.291993	N
hsa-mir-19b-2	191	48.772429	N	469	91.944523	N	344	62.808600	N	409	123.757770	N	544	137.087826	N
hsa-mir-200a	12	3.064236	N	28	5.489225	N	19	3.469080	N	14	4.236207	N	59	14.867981	N
hsa-mir-200b	4	1.021412	N	29	5.685269	N	21	3.834246	N	15	4.538794	N	44	11.087986	N
hsa-mir-200c	56	14.299770	N	71	13.919107	N	107	19.536396	N	55	16.642243	N	60	15.119981	N
hsa-mir-202	1	0.255353	N	2	0.392088	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-203	3153	805.128102	N	2454	481.091383	N	5354	977.550125	N	2349	710.775066	N	1306	329.111583	N
hsa-mir-204	580	148.104757	N	832	163.108407	N	1187	216.726186	N	648	196.075880	N	785	197.819749	N
hsa-mir-205	3	0.766059	N	9	1.764394	N	7	1.278082	N	5	1.512931	N	2	0.503999	N
hsa-mir-2052	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-2053	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-2054	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-206	3	0.766059	N	9	1.764394	N	10	1.825831	N	2	0.605172	N	10	2.519997	N
hsa-mir-208a	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-208b	0	0.000000	N	2	0.392088	N	1	0.182583	N	1	0.302586	N	0	0.000000	N
hsa-mir-20a	355	90.650325	N	1150	225.450322	N	833	152.091755	N	801	242.371574	N	854	215.207727	N
hsa-mir-20b	346	88.352148	N	282	55.284340	N	426	77.780417	N	303	91.683629	N	213	53.675932	N
hsa-mir-21	39682	10132.918912	N	47121	9237.777946	N	39472	7206.921654	N	43236	13082.618448	N	43849	11049.933989	N
hsa-mir-210	553	141.210225	N	602	118.018343	N	588	107.358886	N	425	128.599150	N	1531	385.811511	N
hsa-mir-211	40	10.214121	N	49	9.606144	N	2	0.365166	N	27	8.169828	N	82	20.663974	N
hsa-mir-2110	23	5.873120	N	51	9.998232	N	35	6.390410	N	27	8.169828	N	17	4.283995	N
hsa-mir-2113	4	1.021412	N	2	0.392088	N	5	0.912916	N	1	0.302586	N	3	0.755999	N
hsa-mir-2114	1	0.255353	N	3	0.588131	N	2	0.365166	N	1	0.302586	N	0	0.000000	N
hsa-mir-2115	3	0.766059	N	3	0.588131	N	3	0.547749	N	4	1.210345	N	5	1.259998	N
hsa-mir-2116	1	0.255353	N	2	0.392088	N	2	0.365166	N	1	0.302586	N	11	2.771996	N
hsa-mir-2117	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-212	221	56.433019	N	400	78.417503	N	363	66.277679	N	151	45.690521	N	93	23.435970	N
hsa-mir-214	0	0.000000	N	1	0.196044	N	9	1.643248	N	4	1.210345	N	1	0.252000	N
hsa-mir-215	3	0.766059	N	17	3.332744	Y	15	2.738747	Y	10	3.025862	N	16	4.031995	N
hsa-mir-216a	6	1.532118	N	15	2.940656	N	8	1.460665	N	6	1.815517	N	5	1.259998	N
hsa-mir-216b	0	0.000000	N	5	0.980219	N	4	0.730333	N	3	0.907759	N	3	0.755999	N
hsa-mir-217	53	13.533711	N	271	53.127859	N	110	20.084145	N	136	41.151728	N	252	63.503919	N
hsa-mir-218-1	1	0.255353	N	11	2.156481	N	5	0.912916	N	1	0.302586	N	2	0.503999	N
hsa-mir-218-2	3835	979.278868	N	5516	1081.377372	N	4397	802.818061	N	2875	869.935425	N	898	226.295713	N
hsa-mir-219-1	16	4.085648	N	31	6.077357	N	29	5.294911	N	12	3.631035	N	26	6.551992	N
hsa-mir-219-2	11178	2854.336163	N	64051	12556.798778	N	25325	4623.917989	N	32385	9799.255214	N	224377	56542.932304	N
hsa-mir-22	314520	80313.634805	N	456589	89511.423666	N	512388	93553.409311	N	266658	80687.040201	N	303731	76540.114947	N
hsa-mir-221	1629	415.970085	N	2539	497.755103	N	2590	472.890329	N	1711	517.725048	N	675	170.099784	N
hsa-mir-222	490	125.122984	N	539	105.667586	N	532	97.134230	N	307	92.893974	N	150	37.799952	N
hsa-mir-223	768	196.111127	N	1353	265.247205	N	863	157.569249	N	1584	479.296596	N	583	146.915814	N
hsa-mir-224	2	0.510706	N	3	0.588131	N	2	0.365166	N	3	0.907759	N	1	0.252000	N
hsa-mir-2276	2	0.510706	N	1	0.196044	N	1	0.182583	N	3	0.907759	N	9	2.267997	N
hsa-mir-2277	16	4.085648	N	8	1.568350	N	20	3.651663	N	19	5.749138	N	9	2.267997	N
hsa-mir-2278	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	1	0.252000	N
hsa-mir-2355	213	54.390195	N	193	37.836445	N	124	22.640309	N	159	48.111211	N	404	101.807871	N
hsa-mir-23a	1818	464.231807	Y	2264	443.843069	Y	3250	593.395201	Y	1644	497.451770	Y	1794	452.087427	Y
hsa-mir-23b	4635	1183.561291	Y	8068	1581.681044	Y	6616	1207.970046	Y	4227	1279.032015	Y	10565	2662.376624	Y
hsa-mir-23c	2	0.510706	N	1	0.196044	N	2	0.365166	N	0	0.000000	N	1	0.252000	N
hsa-mir-24-1	88	22.471067	N	154	30.190739	N	102	18.623480	N	96	29.048279	N	483	121.715846	N
hsa-mir-24-2	6466	1651.112688	N	11093	2174.713413	N	9313	1700.396771	N	7958	2407.981257	N	7959	2005.665457	N
hsa-mir-25	7134	1821.688512	N	15962	3129.250474	N	11729	2141.517635	N	21575	6528.298016	N	20635	5200.013406	N
hsa-mir-26a-1	3	0.766059	N	2	0.392088	N	4	0.730333	N	3	0.907759	N	3	0.755999	N
hsa-mir-26a-2	10124	2585.194070	N	17084	3349.211571	N	13063	2385.083542	N	12904	3904.572774	N	12252	3087.500085	N
hsa-mir-26b	1671	426.694912	N	3056	599.109726	N	2189	399.674491	N	3452	1044.527683	N	4478	1128.454569	N
hsa-mir-27a	655	167.256234	Y	1044	204.669684	Y	1147	209.422860	Y	768	232.386228	Y	469	118.187850	Y
hsa-mir-27b	5836	1490.240280	Y	12989	2546.412380	Y	9445	1724.497746	Y	7436	2250.031242	Y	15997	4031.238888	Y
hsa-mir-28	3521	899.098016	N	3786	742.221670	N	4620	843.534101	N	3696	1118.358724	N	7614	1918.725567	N
hsa-mir-2861	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-2909	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-296	10	2.553530	N	24	4.705050	N	11	2.008415	N	19	5.749138	N	49	12.347984	N
hsa-mir-297	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-298	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-299	147	37.536895	N	203	39.796883	N	230	41.994122	N	96	29.048279	N	51	12.851984	N
hsa-mir-29a	71851	18347.370515	N	110095	21583.437596	N	101088	18456.964333	N	60132	18195.115471	N	50376	12694.735903	N
hsa-mir-29b-1	4610	1177.177466	Y	7379	1446.606894	N	6485	1184.051655	N	4021	1216.699250	Y	3654	920.806832	N
hsa-mir-29b-2	4965	1267.827791	Y	8179	1603.441901	Y	7014	1280.638135	N	4195	1269.349255	N	3919	987.586748	Y
hsa-mir-29c	18776	4794.508480	Y	28584	5603.714794	Y	25639	4681.249095	N	15466	4679.798708	Y	11976	3017.948173	Y
hsa-mir-300	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-301a	76	19.406830	N	113	22.152945	N	100	18.258314	N	81	24.509485	N	151	38.051952	N
hsa-mir-301b	1	0.255353	N	5	0.980219	N	6	1.095499	N	5	1.512931	N	8	2.015997	N
hsa-mir-302a	4	1.021412	N	2	0.392088	N	5	0.912916	N	1	0.302586	N	0	0.000000	N
hsa-mir-302b	3	0.766059	N	1	0.196044	N	6	1.095499	N	1	0.302586	N	0	0.000000	N
hsa-mir-302c	0	0.000000	N	0	0.000000	N	1	0.182583	N	0	0.000000	N	0	0.000000	N
hsa-mir-302d	0	0.000000	N	0	0.000000	N	1	0.182583	N	0	0.000000	N	0	0.000000	N
hsa-mir-302e	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-302f	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3065	673	171.852589	N	800	156.835007	N	796	145.336178	N	398	120.429321	N	270	68.039914	N
hsa-mir-3074	7	1.787471	N	8	1.568350	N	13	2.373581	N	11	3.328449	N	11	2.771996	N
hsa-mir-30a	104032	26564.886354	Y	118251	23182.370491	Y	154722	28249.628398	Y	85172	25771.874791	Y	92236	23243.442527	Y
hsa-mir-30b	1646	420.311086	Y	2145	420.513862	Y	2185	398.944158	Y	1796	543.444878	N	1040	262.079668	N
hsa-mir-30c-1	7	1.787471	N	18	3.528788	N	11	2.008415	N	8	2.420690	N	13	3.275996	N
hsa-mir-30c-2	5207	1329.623224	Y	6765	1326.236026	Y	7483	1366.269627	Y	4397	1330.471674	N	4118	1037.734684	N
hsa-mir-30d	29092	7428.730331	N	36470	7149.715874	N	43760	7989.838153	N	22514	6812.426490	N	10566	2662.628624	N
hsa-mir-30e	53985	13785.233292	Y	55016	10785.543420	Y	61733	11271.404906	Y	45197	13675.990055	Y	64791	16327.311297	Y
hsa-mir-31	22	5.617767	N	46	9.018013	N	35	6.390410	N	19	5.749138	N	12	3.023996	N
hsa-mir-3115	0	0.000000	N	0	0.000000	N	1	0.182583	N	0	0.000000	N	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3117	13	3.319589	N	31	6.077357	N	24	4.381995	N	7	2.118104	N	3	0.755999	N
hsa-mir-3118-1	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3118-5	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3118-6	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3120	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3121	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3122	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3123	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3124	0	0.000000	N	1	0.196044	N	0	0.000000	N	1	0.302586	N	4	1.007999	N
hsa-mir-3125	2	0.510706	N	3	0.588131	N	8	1.460665	N	0	0.000000	N	0	0.000000	N
hsa-mir-3126	0	0.000000	N	0	0.000000	N	1	0.182583	N	0	0.000000	N	0	0.000000	N
hsa-mir-3127	41	10.469474	N	40	7.841750	N	35	6.390410	N	35	10.590518	N	71	17.891977	N
hsa-mir-3128	0	0.000000	N	1	0.196044	N	0	0.000000	N	0	0.000000	N	1	0.252000	N
hsa-mir-3129	0	0.000000	N	0	0.000000	N	1	0.182583	N	0	0.000000	N	0	0.000000	N
hsa-mir-3130-1	5	1.276765	N	4	0.784175	N	3	0.547749	N	12	3.631035	N	13	3.275996	N
hsa-mir-3130-2	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3131	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3132	1	0.255353	N	0	0.000000	N	2	0.365166	N	0	0.000000	N	3	0.755999	N
hsa-mir-3133	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3134	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3135	1	0.255353	N	1	0.196044	N	0	0.000000	N	1	0.302586	N	1	0.252000	N
hsa-mir-3136	0	0.000000	N	0	0.000000	N	0	0.000000	N	1	0.302586	N	4	1.007999	N
hsa-mir-3137	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3138	0	0.000000	N	0	0.000000	N	0	0.000000	N	1	0.302586	N	0	0.000000	N
hsa-mir-3139	0	0.000000	N	1	0.196044	N	1	0.182583	N	0	0.000000	N	4	1.007999	N
hsa-mir-3140	0	0.000000	N	0	0.000000	N	1	0.182583	N	1	0.302586	N	0	0.000000	N
hsa-mir-3141	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3142	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3143	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3144	1	0.255353	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	1	0.252000	N
hsa-mir-3145	0	0.000000	N	0	0.000000	N	1	0.182583	N	0	0.000000	N	0	0.000000	N
hsa-mir-3146	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3147	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3148	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3149	1	0.255353	N	0	0.000000	N	1	0.182583	N	0	0.000000	N	2	0.503999	N
hsa-mir-3150	1	0.255353	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3150b	1	0.255353	N	1	0.196044	N	0	0.000000	N	2	0.605172	N	1	0.252000	N
hsa-mir-3151	4	1.021412	N	2	0.392088	N	1	0.182583	N	1	0.302586	N	3	0.755999	N
hsa-mir-3152	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3153	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3154	0	0.000000	N	0	0.000000	N	2	0.365166	N	0	0.000000	N	0	0.000000	N
hsa-mir-3155	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	1	0.252000	N
hsa-mir-3156-1	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3157	1	0.255353	N	4	0.784175	N	2	0.365166	N	2	0.605172	N	6	1.511998	N
hsa-mir-3158-1	0	0.000000	N	0	0.000000	N	1	0.182583	N	1	0.302586	N	0	0.000000	N
hsa-mir-3158-2	1	0.255353	N	1	0.196044	N	2	0.365166	N	0	0.000000	N	0	0.000000	N
hsa-mir-3159	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3161	0	0.000000	N	0	0.000000	N	0	0.000000	N	4	1.210345	N	4	1.007999	N
hsa-mir-3162	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3163	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3164	0	0.000000	N	1	0.196044	N	1	0.182583	N	1	0.302586	N	0	0.000000	N
hsa-mir-3165	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3166	0	0.000000	N	0	0.000000	N	1	0.182583	N	0	0.000000	N	0	0.000000	N
hsa-mir-3167	0	0.000000	N	1	0.196044	N	0	0.000000	N	2	0.605172	N	0	0.000000	N
hsa-mir-3168	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3169	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3170	1	0.255353	N	2	0.392088	N	0	0.000000	N	1	0.302586	N	1	0.252000	N
hsa-mir-3171	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3173	2	0.510706	N	2	0.392088	N	3	0.547749	N	2	0.605172	N	24	6.047992	N
hsa-mir-3174	0	0.000000	N	0	0.000000	N	0	0.000000	N	1	0.302586	N	0	0.000000	N
hsa-mir-3175	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3176	2	0.510706	N	0	0.000000	N	3	0.547749	N	1	0.302586	N	0	0.000000	N
hsa-mir-3177	4	1.021412	N	4	0.784175	N	5	0.912916	N	1	0.302586	N	1	0.252000	N
hsa-mir-3178	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3179-1	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3180-1	1	0.255353	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3180-4	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3180-5	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3181	0	0.000000	N	1	0.196044	N	0	0.000000	N	1	0.302586	N	1	0.252000	N
hsa-mir-3182	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3183	1	0.255353	N	2	0.392088	N	0	0.000000	N	1	0.302586	N	3	0.755999	N
hsa-mir-3184	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3185	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3186	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-3187	1	0.255353	N	1	0.196044	N	1	0.182583	N	1	0.302586	N	1	0.252000	N
