Hybridization REF	TCGA-06-0675-11A-32R-A36C-13	TCGA-06-0675-11A-32R-A36C-13	TCGA-06-0675-11A-32R-A36C-13	TCGA-06-0678-11A-32R-A36C-13	TCGA-06-0678-11A-32R-A36C-13	TCGA-06-0678-11A-32R-A36C-13	TCGA-06-0680-11A-32R-A36C-13	TCGA-06-0680-11A-32R-A36C-13	TCGA-06-0680-11A-32R-A36C-13	TCGA-06-0681-11A-41R-A36C-13	TCGA-06-0681-11A-41R-A36C-13	TCGA-06-0681-11A-41R-A36C-13	TCGA-06-AABW-11A-31R-A36C-13	TCGA-06-AABW-11A-31R-A36C-13	TCGA-06-AABW-11A-31R-A36C-13
miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-mir-1207	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1208	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-122	0	0.000000	N	1	0.196044	N	2	0.365166	N	2	0.605172	N	3	0.755999	N
hsa-mir-1224	368	93.969915	N	446	87.435516	N	534	97.499396	N	281	85.026732	N	185	46.619941	N
hsa-mir-1225	1	0.255353	N	2	0.392088	N	5	0.912916	N	7	2.118104	N	0	0.000000	N
hsa-mir-1226	10	2.553530	N	9	1.764394	N	7	1.278082	N	8	2.420690	N	41	10.331987	N
hsa-mir-1227	0	0.000000	N	2	0.392088	N	0	0.000000	N	1	0.302586	N	0	0.000000	N
hsa-mir-1228	15	3.830295	N	18	3.528788	N	17	3.103913	N	10	3.025862	N	25	6.299992	N
hsa-mir-1229	43	10.980180	N	32	6.273400	N	18	3.286496	N	20	6.051725	N	18	4.535994	N
hsa-mir-1231	0	0.000000	N	0	0.000000	N	2	0.365166	N	2	0.605172	N	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1234	0	0.000000	N	1	0.196044	N	1	0.182583	N	2	0.605172	N	0	0.000000	N
hsa-mir-1236	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	1	0.252000	N
hsa-mir-1237	0	0.000000	N	0	0.000000	N	1	0.182583	N	0	0.000000	N	0	0.000000	N
hsa-mir-1238	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-124-1	3909	998.174992	N	4057	795.349528	N	4870	889.179886	N	2791	844.518181	N	905	228.059711	N
hsa-mir-124-2	1961	500.747291	N	2010	394.047955	N	2459	448.971938	N	1365	413.030211	N	433	109.115862	N
hsa-mir-124-3	1951	498.193760	N	1983	388.754773	N	2522	460.474676	N	1383	418.476763	N	405	102.059871	N
hsa-mir-1243	5	1.276765	N	6	1.176263	N	4	0.730333	N	7	2.118104	N	16	4.031995	N
hsa-mir-1244-1	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1245	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1246	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1247	54	13.789064	N	33	6.469444	N	41	7.485909	N	25	7.564656	N	10	2.519997	N
hsa-mir-1248	2	0.510706	N	6	1.176263	N	1	0.182583	N	1	0.302586	N	2	0.503999	N
hsa-mir-1249	218	55.666960	N	387	75.868935	N	360	65.729930	N	219	66.266385	N	293	73.835906	N
hsa-mir-1250	7	1.787471	N	21	4.116919	N	6	1.095499	N	11	3.328449	N	45	11.339986	N
